Order_ID,Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Revenue,Year,Month,Month_Name,Quarter,Day_of_Week
ORD00021,2023-06-18,CUST4019,Smart Watch,Electronics,South,8,484.98,3879.81,2023,6,June,2,Sunday
ORD00022,2023-10-06,CUST4180,LEGO Set,Toys,North,10,24.49,244.94,2023,10,October,4,Friday
ORD00023,2023-08-02,CUST5375,Plant Pot,Home & Garden,West,2,40.29,80.57,2023,8,August,3,Wednesday
ORD00024,2022-05-24,CUST2692,Running Shoes,Sports,East,9,42.87,385.86,2022,5,May,2,Tuesday
ORD00025,2023-11-10,CUST6377,T-Shirt,Clothing,North,4,68.33,273.3,2023,11,November,4,Friday
ORD00026,2022-05-03,CUST9126,Chair,Home & Garden,West,6,289.88,1739.26,2022,5,May,2,Tuesday
ORD00027,2022-02-25,CUST8988,Lamp,Home & Garden,North,4,96.89,387.57,2022,2,February,1,Friday
ORD00028,2022-02-25,CUST1656,Tablet,Electronics,North,7,1207.61,8453.28,2022,2,February,1,Friday
ORD00029,2023-02-02,CUST3615,Jeans,Clothing,East,9,42.14,379.28,2023,2,February,1,Thursday
ORD00030,2023-09-15,CUST1188,Tennis Racket,Sports,East,10,156.39,1563.89,2023,9,September,3,Friday
ORD00031,2023-10-27,CUST9605,Chair,Home & Garden,North,8,276.21,2209.71,2023,10,October,4,Friday
ORD00032,2023-02-03,CUST4563,Biography,Books,West,1,16.4,16.4,2023,2,February,1,Friday
ORD00033,2023-08-12,CUST9107,Jeans,Clothing,South,6,129.04,774.26,2023,8,August,3,Saturday
ORD00034,2022-06-17,CUST6933,Puzzle,Toys,North,8,47.34,378.75,2022,6,June,2,Friday
ORD00035,2022-09-13,CUST6264,LEGO Set,Toys,North,3,51.75,155.25,2022,9,September,3,Tuesday
ORD00036,2023-01-11,CUST8713,Rug,Home & Garden,East,4,95.22,380.89,2023,1,January,1,Wednesday
ORD00037,2023-08-04,CUST7268,Yoga Mat,Sports,East,5,38.43,192.14,2023,8,August,3,Friday
ORD00038,2022-03-11,CUST4958,Smart Watch,Electronics,North,6,651.86,3911.19,2022,3,March,1,Friday
ORD00039,2023-06-20,CUST3006,Yoga Mat,Sports,North,5,183.01,915.07,2023,6,June,2,Tuesday
ORD00040,2023-09-14,CUST8722,Action Figure,Toys,South,7,82.32,576.24,2023,9,September,3,Thursday
ORD00041,2022-12-17,CUST8100,LEGO Set,Toys,South,4,51.77,207.09,2022,12,December,4,Saturday
ORD00042,2023-07-04,CUST7056,Headphones,Electronics,South,1,564.0,564.0,2023,7,July,3,Tuesday
ORD00043,2022-02-15,CUST6933,Shoes,Clothing,South,10,52.17,521.68,2022,2,February,1,Tuesday
ORD00044,2022-11-05,CUST8437,LEGO Set,Toys,East,7,66.6,466.2,2022,11,November,4,Saturday
ORD00045,2023-12-29,CUST2515,Laptop,Electronics,North,3,614.03,1842.1,2023,12,December,4,Friday
ORD00046,2022-08-26,CUST8177,Tennis Racket,Sports,North,2,152.01,304.02,2022,8,August,3,Friday
ORD00047,2023-11-16,CUST6289,Dress,Clothing,East,10,136.23,1362.31,2023,11,November,4,Thursday
ORD00048,2022-09-17,CUST7004,Puzzle,Toys,North,2,99.74,199.47,2022,9,September,3,Saturday
ORD00049,2022-02-05,CUST5991,Biography,Books,West,6,17.91,107.48,2022,2,February,1,Saturday
ORD00050,2023-04-23,CUST6589,Mirror,Home & Garden,West,6,247.0,1481.97,2023,4,April,2,Sunday
ORD00051,2023-02-07,CUST7876,Biography,Books,South,9,44.52,400.67,2023,2,February,1,Tuesday
ORD00052,2022-02-14,CUST2449,Running Shoes,Sports,West,5,75.66,378.3,2022,2,February,1,Monday
ORD00053,2023-07-16,CUST6954,Fiction Novel,Books,South,4,22.2,88.81,2023,7,July,3,Sunday
ORD00054,2022-02-13,CUST4041,Tennis Racket,Sports,East,2,56.56,113.12,2022,2,February,1,Sunday
ORD00055,2023-06-10,CUST6024,Basketball,Sports,North,6,197.41,1184.49,2023,6,June,2,Saturday
ORD00056,2022-05-08,CUST6728,Smartphone,Electronics,East,2,1193.72,2387.45,2022,5,May,2,Sunday
ORD00057,2023-11-27,CUST5852,Rug,Home & Garden,West,1,149.9,149.9,2023,11,November,4,Monday
ORD00058,2023-05-10,CUST4420,Yoga Mat,Sports,West,6,59.37,356.23,2023,5,May,2,Wednesday
ORD00059,2023-02-03,CUST9988,Smart Watch,Electronics,East,4,769.26,3077.04,2023,2,February,1,Friday
ORD00060,2023-12-21,CUST9455,Yoga Mat,Sports,East,4,148.75,594.98,2023,12,December,4,Thursday
ORD00061,2022-02-23,UNKNOWN,Doll,Toys,South,2,72.46,144.93,2022,2,February,1,Wednesday
ORD00062,2022-06-29,CUST3493,Smart Watch,Electronics,West,3,231.0,693.01,2022,6,June,2,Wednesday
ORD00063,2022-09-15,CUST4968,Cookbook,Books,South,2,33.91,67.82,2022,9,September,3,Thursday
ORD00064,2023-07-25,CUST8299,Biography,Books,North,6,14.86,89.18,2023,7,July,3,Tuesday
ORD00065,2022-06-05,CUST8539,Cookbook,Books,West,10,43.61,436.13,2022,6,June,2,Sunday
ORD00066,2023-03-25,CUST1203,Mirror,Home & Garden,West,1,109.38,109.38,2023,3,March,1,Saturday
ORD00067,2022-01-08,CUST2679,Mirror,Home & Garden,East,10,183.73,1837.25,2022,1,January,1,Saturday
ORD00068,2022-11-23,CUST4065,Laptop,Electronics,West,9,1116.28,10046.56,2022,11,November,4,Wednesday
ORD00069,2022-08-28,CUST5861,Shoes,Clothing,South,5,21.25,106.25,2022,8,August,3,Sunday
ORD00070,2023-04-05,CUST1965,Fiction Novel,Books,South,5,48.48,242.4,2023,4,April,2,Wednesday
ORD00071,2022-11-12,CUST4674,Fiction Novel,Books,North,10,32.76,327.64,2022,11,November,4,Saturday
ORD00072,2023-02-28,CUST9579,Lamp,Home & Garden,North,10,191.94,1919.42,2023,2,February,1,Tuesday
ORD00073,2023-03-21,CUST7012,LEGO Set,Toys,West,6,86.1,516.61,2023,3,March,1,Tuesday
ORD00074,2023-02-07,CUST3708,Lamp,Home & Garden,East,10,82.67,826.69,2023,2,February,1,Tuesday
ORD00075,2022-11-30,CUST1860,Dress,Clothing,East,1,43.04,43.04,2022,11,November,4,Wednesday
ORD00076,2022-04-14,CUST8112,Jacket,Clothing,South,1,149.62,149.62,2022,4,April,2,Thursday
ORD00077,2022-02-07,CUST6696,Science Book,Books,North,5,13.0,65.0,2022,2,February,1,Monday
ORD00078,2023-08-06,CUST9334,Board Game,Toys,North,2,54.36,108.71,2023,8,August,3,Sunday
ORD00079,2023-10-09,CUST2697,Dumbbells,Sports,South,3,77.6,232.81,2023,10,October,4,Monday
ORD00080,2022-04-01,CUST1700,Doll,Toys,East,10,59.91,599.07,2022,4,April,2,Friday
ORD00081,2023-05-01,CUST3628,Tablet,Electronics,West,3,1233.47,3700.4,2023,5,May,2,Monday
ORD00082,2023-01-27,CUST2112,Tennis Racket,Sports,North,5,124.01,620.06,2023,1,January,1,Friday
ORD00083,2022-01-27,CUST1951,Jacket,Clothing,South,2,36.12,72.24,2022,1,January,1,Thursday
ORD00084,2022-07-03,CUST6092,Headphones,Electronics,East,7,1374.82,9623.77,2022,7,July,3,Sunday
ORD00085,2022-02-28,CUST5603,Jeans,Clothing,South,1,147.28,147.28,2022,2,February,1,Monday
ORD00086,2023-03-30,CUST3908,Mirror,Home & Garden,West,9,121.06,1089.55,2023,3,March,1,Thursday
ORD00087,2022-08-17,CUST6324,Self-Help,Books,South,5,26.56,132.82,2022,8,August,3,Wednesday
ORD00088,2023-12-12,CUST9458,Mirror,Home & Garden,West,3,289.63,868.88,2023,12,December,4,Tuesday
ORD00089,2023-12-01,CUST4504,Dumbbells,Sports,East,3,112.19,336.58,2023,12,December,4,Friday
ORD00090,2022-07-26,CUST1707,Biography,Books,North,2,37.66,75.32,2022,7,July,3,Tuesday
ORD00091,2023-10-17,UNKNOWN,Rug,Home & Garden,East,4,192.54,770.15,2023,10,October,4,Tuesday
ORD00092,2022-12-15,CUST3242,Cookbook,Books,West,8,48.98,391.84,2022,12,December,4,Thursday
ORD00093,2022-11-15,CUST3544,Tennis Racket,Sports,East,6,152.27,913.6,2022,11,November,4,Tuesday
ORD00094,2023-03-12,CUST9127,Board Game,Toys,West,8,17.67,141.35,2023,3,March,1,Sunday
ORD00095,2022-04-17,CUST9991,Jeans,Clothing,West,5,104.53,522.64,2022,4,April,2,Sunday
ORD00096,2023-08-28,CUST7222,Puzzle,Toys,South,10,54.33,543.28,2023,8,August,3,Monday
ORD00097,2023-03-01,CUST5111,Action Figure,Toys,West,4,64.6,258.39,2023,3,March,1,Wednesday
ORD00098,2022-12-13,CUST2999,Board Game,Toys,East,1,95.95,95.95,2022,12,December,4,Tuesday
ORD00099,2022-06-30,CUST2926,Jeans,Clothing,North,1,23.36,23.36,2022,6,June,2,Thursday
ORD00100,2022-04-17,CUST3157,Yoga Mat,Sports,West,10,171.03,1710.26,2022,4,April,2,Sunday
ORD00101,2022-05-06,CUST9300,Shoes,Clothing,East,1,64.78,64.78,2022,5,May,2,Friday
ORD00102,2022-08-30,CUST7603,Shoes,Clothing,West,10,58.46,584.59,2022,8,August,3,Tuesday
ORD00103,2022-01-31,CUST4785,Yoga Mat,Sports,North,3,85.49,256.47,2022,1,January,1,Monday
ORD00104,2022-01-21,CUST9515,Jeans,Clothing,South,10,86.82,868.25,2022,1,January,1,Friday
ORD00105,2022-07-25,CUST5928,Running Shoes,Sports,North,5,106.16,530.82,2022,7,July,3,Monday
ORD00106,2022-08-09,CUST7659,Yoga Mat,Sports,South,9,194.75,1752.76,2022,8,August,3,Tuesday
ORD00107,2022-01-25,CUST8948,Dress,Clothing,South,9,80.71,726.36,2022,1,January,1,Tuesday
ORD00108,2023-11-18,CUST8921,Jeans,Clothing,North,3,31.55,94.64,2023,11,November,4,Saturday
ORD00109,2023-09-14,CUST8212,Cookbook,Books,South,10,38.55,385.54,2023,9,September,3,Thursday
ORD00110,2023-12-10,CUST7402,Science Book,Books,East,4,41.51,166.05,2023,12,December,4,Sunday
ORD00111,2023-02-10,CUST4307,Smart Watch,Electronics,North,3,1437.57,4312.72,2023,2,February,1,Friday
ORD00112,2023-10-05,CUST4737,Laptop,Electronics,South,3,248.26,744.79,2023,10,October,4,Thursday
ORD00113,2022-03-06,CUST4295,Dress,Clothing,North,8,106.95,855.56,2022,3,March,1,Sunday
ORD00114,2022-03-30,CUST5955,Tennis Racket,Sports,South,1,137.5,137.5,2022,3,March,1,Wednesday
ORD00115,2022-06-12,CUST4285,Dumbbells,Sports,South,2,53.16,106.32,2022,6,June,2,Sunday
ORD00116,2022-07-14,CUST1108,Shoes,Clothing,West,5,127.4,637.01,2022,7,July,3,Thursday
ORD00117,2023-05-20,CUST8552,Dumbbells,Sports,West,2,73.6,147.19,2023,5,May,2,Saturday
ORD00118,2023-08-10,CUST6903,T-Shirt,Clothing,North,1,89.04,89.04,2023,8,August,3,Thursday
ORD00119,2022-07-31,CUST7715,Biography,Books,North,8,37.96,303.69,2022,7,July,3,Sunday
ORD00120,2023-03-19,UNKNOWN,Board Game,Toys,South,3,93.96,281.87,2023,3,March,1,Sunday
ORD00121,2022-10-12,UNKNOWN,Biography,Books,East,7,21.08,147.57,2022,10,October,4,Wednesday
ORD00122,2023-01-17,CUST8714,Jeans,Clothing,South,10,89.46,894.58,2023,1,January,1,Tuesday
ORD00123,2023-09-15,CUST9295,Laptop,Electronics,West,5,878.23,4391.16,2023,9,September,3,Friday
ORD00124,2022-09-13,CUST3735,Tablet,Electronics,North,6,1044.73,6268.37,2022,9,September,3,Tuesday
ORD00125,2022-01-17,CUST4504,Dumbbells,Sports,East,3,57.66,172.98,2022,1,January,1,Monday
ORD00126,2022-07-29,CUST2214,Cookbook,Books,South,9,13.0,117.03,2022,7,July,3,Friday
ORD00127,2023-10-05,CUST8230,Mirror,Home & Garden,North,9,233.39,2100.53,2023,10,October,4,Thursday
ORD00128,2023-11-14,CUST4650,Headphones,Electronics,East,1,1085.31,1085.31,2023,11,November,4,Tuesday
ORD00129,2023-08-17,CUST8930,Plant Pot,Home & Garden,South,2,173.87,347.74,2023,8,August,3,Thursday
ORD00130,2022-06-14,UNKNOWN,Chair,Home & Garden,South,8,277.85,2222.83,2022,6,June,2,Tuesday
ORD00131,2023-03-29,CUST9047,Basketball,Sports,East,2,125.35,250.7,2023,3,March,1,Wednesday
ORD00132,2022-10-26,CUST3381,Jacket,Clothing,North,9,144.28,1298.5,2022,10,October,4,Wednesday
ORD00133,2023-07-21,CUST6114,Tablet,Electronics,South,4,325.76,1303.03,2023,7,July,3,Friday
ORD00134,2022-08-08,CUST1999,Cookbook,Books,East,8,43.66,349.3,2022,8,August,3,Monday
ORD00135,2022-03-04,CUST1457,LEGO Set,Toys,North,9,94.41,849.73,2022,3,March,1,Friday
ORD00136,2023-08-16,CUST7083,Puzzle,Toys,East,5,82.34,411.69,2023,8,August,3,Wednesday
ORD00137,2023-01-13,CUST5673,Cookbook,Books,West,8,25.11,200.87,2023,1,January,1,Friday
ORD00138,2023-12-29,CUST9343,Science Book,Books,North,4,33.35,133.39,2023,12,December,4,Friday
ORD00139,2022-02-10,CUST8146,Jeans,Clothing,West,3,73.47,220.4,2022,2,February,1,Thursday
ORD00140,2022-03-22,CUST7074,Tennis Racket,Sports,South,3,57.44,172.32,2022,3,March,1,Tuesday
ORD00141,2023-07-25,CUST9266,Rug,Home & Garden,East,1,219.51,219.51,2023,7,July,3,Tuesday
ORD00142,2023-02-14,CUST2870,Yoga Mat,Sports,South,5,161.39,806.97,2023,2,February,1,Tuesday
ORD00143,2022-07-10,CUST9928,Smart Watch,Electronics,West,9,1216.41,10947.72,2022,7,July,3,Sunday
ORD00144,2022-06-27,CUST7151,Chair,Home & Garden,South,8,87.07,696.56,2022,6,June,2,Monday
ORD00145,2023-06-25,CUST4271,Running Shoes,Sports,North,4,33.82,135.27,2023,6,June,2,Sunday
ORD00146,2023-07-26,CUST3797,Board Game,Toys,North,1,41.93,41.93,2023,7,July,3,Wednesday
ORD00147,2023-12-13,CUST4497,Basketball,Sports,West,7,90.48,633.35,2023,12,December,4,Wednesday
ORD00148,2022-11-10,CUST3022,Jeans,Clothing,East,2,42.75,85.49,2022,11,November,4,Thursday
ORD00149,2023-02-19,UNKNOWN,Plant Pot,Home & Garden,North,6,221.56,1329.37,2023,2,February,1,Sunday
ORD00150,2022-04-29,CUST7971,Smartphone,Electronics,South,2,510.62,1021.24,2022,4,April,2,Friday
ORD00151,2022-01-27,UNKNOWN,Jeans,Clothing,North,7,142.09,994.64,2022,1,January,1,Thursday
ORD00152,2023-11-15,CUST5764,Yoga Mat,Sports,North,3,119.76,359.28,2023,11,November,4,Wednesday
ORD00153,2023-11-23,CUST1009,Chair,Home & Garden,North,2,178.26,356.52,2023,11,November,4,Thursday
ORD00154,2022-02-02,CUST1139,Basketball,Sports,West,4,197.29,789.17,2022,2,February,1,Wednesday
ORD00155,2023-02-27,CUST2478,Self-Help,Books,South,9,42.87,385.82,2023,2,February,1,Monday
ORD00156,2022-07-06,CUST8158,Science Book,Books,West,1,46.82,46.82,2022,7,July,3,Wednesday
ORD00157,2023-05-11,CUST4067,Yoga Mat,Sports,West,4,126.53,506.14,2023,5,May,2,Thursday
ORD00158,2022-04-03,CUST6637,Chair,Home & Garden,East,6,40.1,240.59,2022,4,April,2,Sunday
ORD00159,2023-09-15,CUST1915,Tablet,Electronics,West,9,610.65,5495.86,2023,9,September,3,Friday
ORD00160,2022-07-15,CUST1343,Cookbook,Books,East,9,33.8,304.22,2022,7,July,3,Friday
ORD00161,2022-04-23,CUST1483,Biography,Books,North,10,18.58,185.78,2022,4,April,2,Saturday
ORD00162,2023-08-08,CUST1904,Jacket,Clothing,North,3,21.54,64.63,2023,8,August,3,Tuesday
ORD00163,2022-04-15,CUST3445,T-Shirt,Clothing,South,1,57.45,57.45,2022,4,April,2,Friday
ORD00164,2023-01-31,CUST2914,Fiction Novel,Books,East,3,23.11,69.33,2023,1,January,1,Tuesday
ORD00165,2023-04-23,CUST8070,Fiction Novel,Books,East,8,44.62,356.95,2023,4,April,2,Sunday
ORD00166,2022-12-05,CUST3475,Dress,Clothing,South,10,25.46,254.61,2022,12,December,4,Monday
ORD00167,2023-08-30,CUST8877,Fiction Novel,Books,West,5,26.51,132.53,2023,8,August,3,Wednesday
ORD00168,2023-02-01,CUST9174,Rug,Home & Garden,South,9,115.58,1040.22,2023,2,February,1,Wednesday
ORD00169,2023-07-20,CUST5180,Smart Watch,Electronics,South,1,1317.01,1317.01,2023,7,July,3,Thursday
ORD00170,2023-07-13,CUST3168,Headphones,Electronics,East,3,483.34,1450.03,2023,7,July,3,Thursday
ORD00171,2023-07-31,CUST4007,Dress,Clothing,West,8,79.11,632.92,2023,7,July,3,Monday
ORD00172,2023-12-09,CUST7388,Cookbook,Books,East,8,40.23,321.85,2023,12,December,4,Saturday
ORD00173,2023-12-14,CUST2386,Basketball,Sports,West,4,125.91,503.63,2023,12,December,4,Thursday
ORD00174,2022-11-27,CUST1745,Action Figure,Toys,East,1,50.58,50.58,2022,11,November,4,Sunday
ORD00175,2022-08-24,CUST5068,Smartphone,Electronics,North,4,1370.75,5482.99,2022,8,August,3,Wednesday
ORD00176,2023-08-13,CUST8263,Action Figure,Toys,North,10,65.64,656.38,2023,8,August,3,Sunday
ORD00177,2023-07-10,CUST5605,T-Shirt,Clothing,West,10,89.5,894.98,2023,7,July,3,Monday
ORD00178,2023-01-02,CUST2475,Jeans,Clothing,North,6,41.18,247.09,2023,1,January,1,Monday
ORD00179,2023-09-16,CUST5751,LEGO Set,Toys,North,3,36.1,108.29,2023,9,September,3,Saturday
ORD00180,2022-02-09,CUST8326,LEGO Set,Toys,East,5,48.45,242.27,2022,2,February,1,Wednesday
ORD00181,2022-06-01,CUST9232,Basketball,Sports,West,2,60.3,120.6,2022,6,June,2,Wednesday
ORD00182,2022-04-15,CUST2706,Self-Help,Books,West,8,24.03,192.2,2022,4,April,2,Friday
ORD00183,2023-12-20,CUST3644,Headphones,Electronics,East,1,668.3,668.3,2023,12,December,4,Wednesday
ORD00184,2022-04-28,CUST1635,Board Game,Toys,North,7,19.14,133.97,2022,4,April,2,Thursday
ORD00185,2022-01-01,CUST6616,Dress,Clothing,North,7,89.48,626.34,2022,1,January,1,Saturday
ORD00186,2022-02-22,CUST4251,Running Shoes,Sports,North,4,147.95,591.8,2022,2,February,1,Tuesday
ORD00187,2022-10-26,CUST1451,Board Game,Toys,West,7,63.93,447.54,2022,10,October,4,Wednesday
ORD00188,2023-04-23,CUST6227,Dumbbells,Sports,East,1,126.64,126.64,2023,4,April,2,Sunday
ORD00189,2022-12-09,CUST6028,Lamp,Home & Garden,North,8,32.68,261.47,2022,12,December,4,Friday
ORD00190,2023-06-30,CUST3118,Yoga Mat,Sports,West,7,104.4,730.8,2023,6,June,2,Friday
ORD00191,2022-06-08,CUST5140,Jacket,Clothing,East,1,123.46,123.46,2022,6,June,2,Wednesday
ORD00192,2023-12-13,CUST5374,Board Game,Toys,East,1,39.7,39.7,2023,12,December,4,Wednesday
ORD00193,2023-04-24,CUST7965,Rug,Home & Garden,South,6,180.67,1084.0,2023,4,April,2,Monday
ORD00194,2023-02-18,CUST5313,Yoga Mat,Sports,West,8,82.26,658.1,2023,2,February,1,Saturday
ORD00195,2022-01-31,CUST4951,Headphones,Electronics,South,5,1280.21,6401.07,2022,1,January,1,Monday
ORD00196,2023-04-26,CUST8448,Plant Pot,Home & Garden,West,2,75.74,151.48,2023,4,April,2,Wednesday
ORD00197,2023-05-08,CUST5085,Tablet,Electronics,North,9,983.66,8852.96,2023,5,May,2,Monday
ORD00198,2023-12-16,CUST9920,Cookbook,Books,West,9,38.84,349.54,2023,12,December,4,Saturday
ORD00199,2022-12-08,CUST6512,LEGO Set,Toys,South,7,95.06,665.44,2022,12,December,4,Thursday
ORD00200,2022-02-21,CUST9070,Shoes,Clothing,North,6,44.12,264.7,2022,2,February,1,Monday
ORD00201,2023-10-16,CUST9304,Rug,Home & Garden,South,2,95.31,190.61,2023,10,October,4,Monday
ORD00202,2022-09-18,CUST6401,LEGO Set,Toys,South,2,64.88,129.76,2022,9,September,3,Sunday
ORD00203,2023-01-10,CUST2630,Smart Watch,Electronics,North,7,1010.68,7074.75,2023,1,January,1,Tuesday
ORD00204,2022-12-14,CUST2283,Basketball,Sports,South,8,86.72,693.74,2022,12,December,4,Wednesday
ORD00205,2022-07-21,CUST7896,Laptop,Electronics,South,6,356.89,2141.33,2022,7,July,3,Thursday
ORD00206,2023-02-14,CUST2530,Chair,Home & Garden,East,4,83.73,334.94,2023,2,February,1,Tuesday
ORD00207,2023-10-19,CUST4178,Headphones,Electronics,West,8,951.66,7613.28,2023,10,October,4,Thursday
ORD00208,2022-09-07,CUST4325,Jacket,Clothing,East,3,78.48,235.45,2022,9,September,3,Wednesday
ORD00209,2023-06-14,CUST7312,Tennis Racket,Sports,South,5,179.05,895.24,2023,6,June,2,Wednesday
ORD00210,2023-01-16,CUST2177,Shoes,Clothing,East,4,127.19,508.78,2023,1,January,1,Monday
ORD00211,2022-05-15,CUST1822,Mirror,Home & Garden,West,6,150.14,900.84,2022,5,May,2,Sunday
ORD00212,2023-03-06,CUST5680,Lamp,Home & Garden,East,6,174.68,1048.08,2023,3,March,1,Monday
ORD00213,2023-04-30,CUST5563,Jacket,Clothing,North,3,37.51,112.54,2023,4,April,2,Sunday
ORD00214,2023-08-07,CUST1088,Smartphone,Electronics,North,5,1425.09,7125.43,2023,8,August,3,Monday
ORD00215,2023-03-21,CUST4819,Laptop,Electronics,South,4,967.24,3868.97,2023,3,March,1,Tuesday
ORD00216,2022-07-26,CUST6071,LEGO Set,Toys,West,4,57.16,228.64,2022,7,July,3,Tuesday
ORD00217,2022-01-04,CUST8352,Board Game,Toys,North,4,26.1,104.39,2022,1,January,1,Tuesday
ORD00218,2023-07-12,CUST7651,Smart Watch,Electronics,South,1,241.4,241.4,2023,7,July,3,Wednesday
ORD00219,2023-12-31,CUST5119,Shoes,Clothing,South,1,140.02,140.02,2023,12,December,4,Sunday
ORD00220,2022-07-22,CUST5357,Smartphone,Electronics,North,10,687.88,6878.8,2022,7,July,3,Friday
ORD00221,2022-05-01,CUST7097,Rug,Home & Garden,West,4,175.58,702.34,2022,5,May,2,Sunday
ORD00222,2023-09-05,CUST6052,Tennis Racket,Sports,East,6,160.0,959.99,2023,9,September,3,Tuesday
ORD00223,2023-03-25,CUST8355,Board Game,Toys,South,4,32.23,128.92,2023,3,March,1,Saturday
ORD00224,2022-12-31,CUST9662,LEGO Set,Toys,East,1,51.74,51.74,2022,12,December,4,Saturday
ORD00225,2023-03-15,CUST9687,Doll,Toys,North,1,30.95,30.95,2023,3,March,1,Wednesday
ORD00226,2023-04-08,CUST3254,Smartphone,Electronics,South,5,788.78,3943.91,2023,4,April,2,Saturday
ORD00227,2023-05-10,CUST2404,LEGO Set,Toys,South,6,69.81,418.86,2023,5,May,2,Wednesday
ORD00228,2023-05-31,CUST9079,Board Game,Toys,North,8,51.17,409.37,2023,5,May,2,Wednesday
ORD00229,2023-03-20,CUST8764,Fiction Novel,Books,North,3,15.86,47.58,2023,3,March,1,Monday
ORD00230,2022-06-09,CUST8966,Tablet,Electronics,East,7,587.82,4114.75,2022,6,June,2,Thursday
ORD00231,2022-03-08,CUST2252,T-Shirt,Clothing,West,8,89.61,716.91,2022,3,March,1,Tuesday
ORD00232,2022-06-18,CUST4999,Cookbook,Books,North,10,45.15,451.55,2022,6,June,2,Saturday
ORD00233,2022-08-29,CUST6505,Tablet,Electronics,South,7,258.07,1806.48,2022,8,August,3,Monday
ORD00234,2023-09-27,CUST8902,Board Game,Toys,West,3,68.82,206.46,2023,9,September,3,Wednesday
ORD00235,2023-12-12,CUST4897,Smartphone,Electronics,West,8,349.19,2793.53,2023,12,December,4,Tuesday
ORD00236,2022-04-05,CUST6049,Yoga Mat,Sports,South,8,156.44,1251.55,2022,4,April,2,Tuesday
ORD00237,2022-12-15,CUST3327,Dress,Clothing,South,7,106.46,745.24,2022,12,December,4,Thursday
ORD00238,2023-09-27,CUST4555,Science Book,Books,North,1,41.49,41.49,2023,9,September,3,Wednesday
ORD00239,2022-12-20,CUST9339,Rug,Home & Garden,North,10,153.29,1532.93,2022,12,December,4,Tuesday
ORD00240,2022-08-03,CUST1168,Fiction Novel,Books,East,7,42.24,295.67,2022,8,August,3,Wednesday
ORD00241,2023-11-15,CUST7373,Board Game,Toys,South,3,98.95,296.85,2023,11,November,4,Wednesday
ORD00242,2022-10-23,CUST9339,Jeans,Clothing,North,3,58.09,174.27,2022,10,October,4,Sunday
ORD00243,2022-09-24,CUST3784,Rug,Home & Garden,East,1,290.5,290.5,2022,9,September,3,Saturday
ORD00244,2022-02-28,CUST9895,Cookbook,Books,West,6,32.99,197.94,2022,2,February,1,Monday
ORD00245,2023-12-14,CUST2782,Tablet,Electronics,North,10,579.21,5792.11,2023,12,December,4,Thursday
ORD00246,2022-08-25,CUST3834,Jeans,Clothing,South,2,53.54,107.08,2022,8,August,3,Thursday
ORD00247,2022-04-23,CUST7831,Mirror,Home & Garden,North,10,55.73,557.32,2022,4,April,2,Saturday
ORD00248,2022-05-15,CUST1356,Smartphone,Electronics,North,8,1402.9,11223.2,2022,5,May,2,Sunday
